title,description,category,sub_category,type
Designer Double Pedestal Stone Base Wood Top Console Table LG223-5," Expertly crafted with a designer double pedestal stone base, this console table brings a touch of sophistication to any room. The wood top adds warmth and natural beauty, while the sturdy construction ensures durability for years to come. Elevate your space with this elegant piece. 
 Condition: Excellent 
 Dimensions: 84 x 22 x 31""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Demilune Carved Wood Accent Table LG223-10," Crafted from durable carved wood, this Demilune Accent Table adds a touch of elegance to any space. Its unique half-moon shape allows for versatile placement and the carved details add a touch of sophistication. Perfect for displaying decor or as a functional side table, this piece is a must-have for any home. 
 Condition: Excellent 
 Dimensions: 42 x 22 x 33""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Custom Striped Cuddle Chair w Round Ottoman LG223-11," This Custom Striped Cuddle Chair with Round Ottoman offers both comfort and style. The unique design, featuring a round ottoman, adds a touch of sophistication to any room. Expertly crafted with custom stripes and high-quality materials, this chair is perfect for cozying up with a book or chatting with friends. 
 Condition: Excellent 
 Dimensions: 39 x 38 x 27""H  Ottoman 24 x 18""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
10 Traditional Imports Upholstered Carved Wood Dining Chairs LG223-3," 8 Side Chairs and 2 Arm Chairs.  Beautiful.  Custom.  Experience timeless elegance with our set of 10 Traditional Imports Upholstered Carved Wood Dining Chairs. Crafted with expertly carved wood and luxurious upholstery, these chairs bring both style and comfort to your dining room. Elevate your dining experience with this classic and refined addition to your home. 
 Condition: Excellent 
 Dimensions: 24 x 25 x 42""H  Seat=20""    Side chair = 21 x 25 x 42""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Vintage Mid Century Italian Chiavari Solid Brass Side Chair Leather Seat 1960's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
The Seat cover has been replaced with leather.  
And the Frame has been polished... but enough patina was left 
to keep its vintage charm.  
Otherwise, Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   37'H x 16"" x16"" x SH 19""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage French Country Brown Oak Side Chair with Cane,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
There is wear that is usual for its age. Please see the photos.  
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   32""High x 18"" x 18"" SH 17.5""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid Century Danish Modern Black Teak Side Chair w Rattan Backrest 1960's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
There is a tiny rattan broken on the backrest.  It is so small it is unnoticeable.
Otherwise, wear is usual for its age. Please see the photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   38""H x 19 x 22 SH 18""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid Century Danish Modern Black Side Chair Grand Rapids Michigan 1960's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
There is wear that is usual for its age. Please see the photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   33 1/2""H x 19"" x 19"" SH 18""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid Century Modern Maple Side Chair w Rattan and Leather Seat,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
There is a 1/4"" tiny break in the cane.  Almost unnoticeable. 
Otherwise, Wear is usual for its age. Please see the photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   33""H x 20 x 21 SH 17""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid Century Danish Modern Black Side Chair 1960's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
But the seat has a small tear in it. Otherwise, wear is usual for its age.
Please see the photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:  32""H  x 20 "" x 18"" SH 18.5""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid Century Danish Modern Black Side Chair Made in Denmark 1960's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Unique Chair in Fair Vintage Condition. Solid and Firm.  
But the Fabric could be replaced due to some tears. Otherwise, wear is usual for its age. 
 Please see the photos.
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   29 1/2""H x 18.5"" x 18.5"" SH 17.5"" 

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid Century Danish Modern Green Teakwood Side Chair 1960's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
 Gorgeous Chair in Good Vintage Condition. Solid and Firm. 
Wear is usual for its age. Please see the photos. 
Overall a Gorgeous Chair that you will love having in your home!!
Measurements:   30 1/2""H x 20"" x 21"" SH 17""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Vintage Mid-Century Modern Homecrest White Wire Swivel Rocker Lounge Chair,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Unique Chair in Good Rustic Vintage Condition. It is solid and Firm. But the chair has been outdoors and has acquired some rust.  This adds to its vintage charm and most will consider keeping the paint in its present condition. Otherwise, wear is usual for its age.  Please see the photos. 
Overall a Unique Chair that you will love having in your home!!
Measurements:   32""H X 29"" X 26"" SH15"" BUT add 3"" for the cushion

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
Pair of Mid Century Danish Modern Teak Black Side Chairs by Borneo Int'l 1970's,"Please Contact us for an EXACT Shipping Quote.
The amount posted may not be accurate due to your
exact location. We are in Valencia, CA 91355    
PLEASE VISIT OUR STORE for over 1,400 vintage items:
Vintage L A Furniture
************************
Gorgeous Chairs in Great Vintage Condition. Solid and Firm. 
Wear is usual for their age. Please see the photos.
Overall a Gorgeous Set of Chairs that you will love having in your home!!
Measurements:   33""H x 17"" x 21"" SH 17""

Please keep in mind that this is a Vintage Piece and has its normal signs of wear.
This is what gives it it's character and confirms its age.
And is being sold in ""as-is condition"".
Note:  Please use photos as part of the description.
",,,
